username,game_company,country,score,age,sex
gHUTACr6,Tencent,UK,25,49,0
YkqnxSi6,Tencent,CN,42,14,1
Zm7Sxvh3,NETS,KR,64,43,0
BqqGBGqg,TiMi,CN,63,48,0
Z5G7h9fH,GY,KR,65,11,1
jh06JpOc,GY,KR,82,11,1
HGPaCLY6,NETS,US,18,44,0
ITjLas5D,TiMi,US,28,18,0
jolDYnRK,NETS,CN,5,50,0
la3ZjyCJ,TiMi,KR,92,50,0
JVMvLk2W,Tencent,KR,34,38,1
Lbn2bu4J,GY,KR,2,36,0
5ypVT9Ri,TiMi,UK,17,27,0
oYaM4oEG,GY,UK,36,27,0
wCD2yNtO,GY,UK,65,14,0
kqNjEm3R,NEXON,US,10,28,1
UAOBqoMn,GY,US,54,32,1
OwzEj1jx,TiMi,KR,2,33,0
NSccPSYL,NEXON,CN,85,12,1
nBkvEwfW,NEXON,CN,27,36,0
4u3wChmv,Tencent,KR,90,16,1
KUlO0gKe,TiMi,CN,37,11,0
CanqsciV,NETS,KR,3,45,1
8WOj99XB,NETS,US,38,29,0
B53QE36b,NETS,UK,44,46,1
ORVK3R1E,Tencent,US,54,11,0
2XML8YLo,TiMi,KR,41,46,0
EjCH0DNg,GY,UK,84,18,1
LwzyJuG1,NEXON,US,59,47,1
MqCZalWe,GY,US,3,27,0
dIqzwmzZ,NEXON,UK,32,47,1
ulm608x1,Tencent,UK,33,28,0
3UmaxU10,TiMi,US,7,35,0
VrjBhmT2,GY,CN,71,12,0
98f8yl1T,NEXON,CN,71,37,1
jSHe4UCt,NEXON,CN,80,44,0
twOI23Ys,TiMi,UK,93,23,0
pGSLaNq3,TiMi,KR,2,47,0
gF8ZvvNf,Tencent,CN,20,15,1
WoHzNohv,TiMi,KR,20,25,0
sKidL0yL,TiMi,KR,0,27,1
vfDJdMEb,GY,CN,0,30,0
6sBpTrRm,GY,CN,96,31,0
Lhd9e7yX,NEXON,KR,27,44,0
monWoB08,NEXON,US,48,27,1
gDfJ94R8,Tencent,CN,63,34,0
l2SGRo7E,NETS,CN,97,24,1
eKkoxH7k,NEXON,UK,32,26,0
fhyXkrpN,Tencent,US,28,23,1
Q3jTzFhQ,NETS,UK,87,38,1
B1A4svrG,TiMi,KR,82,16,0
POYxqyvQ,TiMi,KR,46,15,0
VsDIoHcU,TiMi,KR,38,24,0
bLvRszVg,TiMi,CN,63,47,0
IjLi29Gv,NETS,US,86,10,0
Wgs9kLTw,TiMi,UK,8,40,1
x4iK817l,Tencent,UK,23,29,1
9RndnAa0,NETS,KR,96,44,0
1AhpNQ4g,NETS,KR,9,34,1
nwZq6yWp,NEXON,CN,67,45,0
xYvJOxsY,Tencent,CN,62,47,0
hwx7flDE,GY,UK,60,11,0
ps5LvLNI,TiMi,UK,30,21,0
fkU5Fm32,Tencent,US,33,17,0
AAi1VyL6,Tencent,US,58,48,0
mfNbD1NZ,NETS,KR,100,13,0
6ZQKwSl2,NEXON,CN,79,16,0
2OOL9Pq4,Tencent,CN,33,24,0
NJiVcqaJ,Tencent,UK,18,23,1
YuHBmgA8,GY,US,96,24,1
q6IJAYsT,GY,US,92,37,0
AbWx478V,NETS,US,96,49,0
POIWk4sB,TiMi,KR,36,42,1
hEi0YzrK,NEXON,UK,99,46,1
PgrJFo6M,NEXON,US,13,30,1
yVHBW02Z,Tencent,US,5,14,1
zd5l80wI,TiMi,UK,34,38,0
UEfc3nfD,TiMi,UK,44,19,1
6VI80bQB,GY,KR,22,44,0
2TRQ2ZDo,GY,US,18,11,0
vVlZq651,NEXON,US,26,23,1
aQyE1Mhp,TiMi,UK,98,26,1
mxesQsbR,Tencent,KR,47,23,0
qGZIz8hn,Tencent,UK,29,50,0
kzUK58PZ,TiMi,UK,87,17,0
mMfYeLdh,TiMi,KR,47,43,1
jpLv6uqa,NEXON,UK,88,15,1
2wNbDTna,TiMi,US,43,45,0
cQUGStca,GY,CN,71,25,1
UZR3RgBu,GY,CN,79,14,0
STMrtINw,Tencent,KR,99,29,0
6esxFEiy,TiMi,US,100,17,1
T5WG48AR,Tencent,CN,96,26,1
w7tICchW,TiMi,KR,6,28,0
bFPJxPPz,NETS,US,39,20,1
zYY9mQjc,NEXON,KR,9,46,1
Ee8W8GLe,NEXON,CN,85,31,1
6AMHk0s8,NETS,CN,70,47,0
cSBGrrMJ,NETS,US,100,46,1
3VL3x8y1,Tencent,CN,50,47,0
D38byWFa,TiMi,CN,33,10,1
Sd73rT6V,NEXON,CN,10,12,1
fGybbV4j,Tencent,US,99,34,1
kUv6HR64,TiMi,CN,38,10,1
kNPep1QS,GY,CN,58,50,1
uqoVnPp3,GY,UK,90,34,0
dwCYLpMX,Tencent,US,11,48,0
t5wiyBlg,TiMi,CN,36,13,0
MplirhJa,NETS,US,45,21,0
PaqfsIbS,NEXON,US,36,31,0
crQgtNOT,Tencent,US,22,26,0
7iBQ2mom,GY,CN,30,50,0
k3m06FLY,GY,CN,31,35,1
jhshdu02,NETS,KR,4,37,1
FX5XYcoJ,GY,UK,24,28,0
zchTFu7U,GY,CN,57,30,1
EOqdyE0X,GY,UK,25,22,0
K2CnOBxd,TiMi,UK,47,42,0
DVR60lt1,TiMi,KR,76,16,0
mbdDtJIm,Tencent,KR,92,10,1
dWjPsvBw,NETS,US,56,31,1
cE45oorB,NEXON,CN,77,34,1
uaJmRMc8,TiMi,CN,94,37,1
utKfZSxr,NEXON,UK,73,15,0
WVWeUlTj,TiMi,US,87,12,0
aPwGFUqN,NETS,US,70,31,1
cetmMvvh,Tencent,CN,64,32,0
DYEWxTqt,GY,CN,77,50,0
tWvofvwW,TiMi,KR,69,11,1
QArP1pSN,Tencent,US,85,50,1
RL6BgefE,NEXON,US,22,40,1
A5PzMAou,Tencent,US,6,25,0
j8zhlcD4,GY,CN,86,43,1
lqf1Ii6O,NEXON,KR,37,45,0
V2M4fBt9,GY,CN,7,25,1
DqoEwObL,GY,KR,7,26,1
gjUO489y,Tencent,KR,52,29,1
Lgw9U2Jh,NEXON,CN,3,40,0
2DlRI45O,NEXON,CN,92,45,0
PEEL6Y3x,Tencent,CN,85,31,1
cJOLjLSH,NEXON,UK,32,29,0
hNff6pE9,NEXON,CN,92,29,1
Lddj51mL,NEXON,KR,64,37,1
hS8sJTAZ,GY,CN,56,10,1
g4v9O1kw,NEXON,US,79,50,0
53nkJ6HA,TiMi,UK,49,43,1
3W8qvZ6E,Tencent,KR,63,44,0
xfbPLVOK,GY,KR,59,20,0
LbT3w1sY,Tencent,US,25,34,1
FGpvpv9q,Tencent,UK,70,21,0
sFwSNvJU,NETS,UK,43,42,1
HpzIvSk1,TiMi,US,45,10,0
sFetpIET,GY,UK,4,40,0
bufysDS5,GY,UK,8,45,0
spw64d94,Tencent,KR,82,15,0
jECXTJSu,GY,KR,87,22,0
cuOi3xaA,Tencent,US,70,10,1
qUl8ElJW,NEXON,KR,41,20,0
lc4HTrDl,GY,US,33,36,0
EIvk7May,Tencent,CN,88,29,0
yv3N8Ueb,NETS,CN,94,44,0
D6BDN5kO,NETS,US,88,37,1
SMMQ6jRX,Tencent,UK,69,18,1
sbCQj1KI,NEXON,KR,96,20,1
L7PlxBFE,Tencent,KR,65,22,1
2C3JLZmh,Tencent,CN,89,24,0
XQr40Sh0,Tencent,CN,46,48,0
KFFysRZn,NETS,CN,73,11,0
EqSMWMFg,Tencent,US,2,29,1
wX5EPOL7,NEXON,CN,85,22,0
ntgpYGzj,Tencent,CN,4,40,1
Vr3d1YYl,TiMi,US,5,20,1
vbF0vD6R,NEXON,US,25,46,0
dtGD86s6,NETS,KR,13,17,0
e0UeqwDo,NEXON,CN,81,19,1
HRjVQFNe,GY,CN,56,11,0
ENCHwnWE,NETS,KR,36,17,0
CHXJTBld,NEXON,CN,70,36,0
VSfZ1J6X,NETS,UK,24,21,1
nx0yleWS,Tencent,KR,3,24,0
08q1nhn9,Tencent,KR,51,30,0
LJcolVKo,NEXON,KR,57,45,0
dB5mDFKX,Tencent,UK,32,29,1
ZSzOzOU8,GY,CN,8,19,0
fDEPkxrw,Tencent,CN,4,17,0
LtFSYhkz,NETS,UK,94,30,1
nKr93uTA,NEXON,KR,49,15,0
KLB6Aq0V,NEXON,KR,88,46,1
GOHIrpJQ,GY,KR,27,13,1
gJ0lBlFe,NETS,US,57,39,1
KSmxDA99,GY,US,26,33,1
NnzGM1SH,Tencent,US,0,20,0
tYuuqaL3,TiMi,CN,96,10,1
QxSGmt9V,NEXON,CN,9,25,1
RYf0GH4z,GY,US,62,16,1
hHsbwLfP,NETS,KR,20,30,0
fI4rak4u,GY,CN,22,34,1
rjC35dvr,GY,CN,91,12,0
5jVJHcHp,GY,CN,19,14,0
LkkI40ZS,NEXON,UK,77,44,0
zCj1gKbG,GY,UK,86,49,0
Fwzccn08,TiMi,US,52,29,1
Wo55pnz7,Tencent,US,15,36,1
9kmc3UUt,TiMi,US,69,36,1
ctNfnQEP,NEXON,KR,73,11,1
0uwlZU2a,NEXON,CN,45,29,1
Hk9JgbUY,TiMi,US,73,18,1
H0Mv0Mr2,NETS,UK,45,19,1
wPzNkyxW,NETS,UK,25,17,0
ryZk09ag,TiMi,KR,65,48,1
3m9BYsqF,TiMi,US,21,35,0
1dsSEkO5,TiMi,US,69,40,1
rPHmf0U9,GY,KR,73,36,1
zb5PoMBT,NEXON,CN,70,47,0
c6YuqKxc,TiMi,US,40,24,0
63AiDD2X,TiMi,UK,43,36,0
w2cTnSyu,Tencent,UK,11,38,1
u9ClPJ4u,NEXON,US,98,40,1
iX8KH7g5,TiMi,US,97,22,0
47eTzjjJ,NEXON,UK,100,21,1
qgypVzuj,GY,US,12,24,0
BrteSBMO,NEXON,CN,82,23,0
BVaKOmCx,NETS,CN,14,40,0
sVZQcMXq,GY,KR,92,39,1
AATjYFIB,TiMi,US,98,43,1
c2EMq7xV,Tencent,CN,0,10,0
zeaal5Rl,NETS,UK,15,15,0
lUOHeERK,Tencent,UK,92,40,0
CMYGSe1t,GY,UK,35,14,1
s3pcAvYT,GY,KR,56,22,1
UBO1JvCV,GY,US,13,46,0
6JfMj1IG,TiMi,US,78,16,0
2Uw0VjJl,NEXON,CN,33,37,1
LfZVHXLT,Tencent,KR,93,19,0
XsGkZGdC,NEXON,US,85,37,1
STdT5NKe,NETS,CN,82,50,1
j13Ejnqb,GY,US,5,23,0
fMkpYdif,NETS,CN,80,42,1
WUsKF6FN,Tencent,UK,5,49,1
MfU3hE6x,Tencent,KR,67,29,1
RhhNn9ar,NETS,US,44,38,0
4YTVsva9,Tencent,US,96,19,0
LgZY1Ocr,NEXON,US,41,22,1
exYmHUdH,NETS,CN,49,30,0
vCMflvkR,Tencent,CN,75,28,1
n2QuVI0Z,Tencent,US,60,20,1
1GEWJVix,NETS,CN,80,26,0
eFNc3NVJ,TiMi,KR,0,14,0
r90DWKOd,GY,UK,47,13,1
ybnBGDUP,NETS,KR,40,24,1
OUFFwmeP,Tencent,CN,35,46,1
rwsBSoZu,TiMi,KR,82,16,0
hhqTd2n0,Tencent,CN,18,38,1
waTLjOeF,Tencent,US,15,44,1
0z3Sv6VX,NEXON,KR,41,39,1
qnCCdJNr,NEXON,CN,7,24,1
u8g5WrpB,Tencent,KR,94,27,1
WOXgozBE,Tencent,CN,91,15,1
zBO14ixu,GY,CN,26,36,0
xtYc6Htq,NEXON,CN,50,16,0
zKKNilHP,Tencent,US,50,11,0
Q4BE8TDi,TiMi,US,34,10,0
s7D6ku1g,Tencent,CN,67,40,0
uW8YBtCQ,Tencent,US,15,21,0
OL9RBF9K,NETS,CN,15,47,1
HUqD7xpf,TiMi,US,68,42,1
KUbx1Q1U,TiMi,KR,62,16,1
45ra3Yln,Tencent,US,25,44,1
vtCmbxvs,GY,UK,51,24,0
72oPv1lV,NEXON,CN,97,30,0
GBNBUZNZ,TiMi,CN,33,19,0
5kc4Yk8h,GY,CN,36,24,0
lyEgxugv,NEXON,UK,19,26,1
J8fWdcq3,NETS,UK,0,33,0
i2s09DJX,Tencent,US,96,15,1
wnAXnyPB,NEXON,CN,10,35,0
Bi05R3X2,NEXON,US,27,13,1
HtGfU7If,TiMi,UK,13,10,0
vlWKsLRs,GY,US,70,20,1
nGWmzKs9,GY,CN,38,11,0
6rVci0xO,NETS,US,6,21,0
tvE0SuFY,TiMi,CN,61,22,0
3s9pleG4,TiMi,KR,31,20,0
s6817IvJ,NEXON,CN,13,33,0
jrqVbrUe,NEXON,CN,43,45,1
qsSKKogL,GY,US,47,38,1
gGKQQbPq,NETS,KR,39,42,0
e7lSMsmn,TiMi,UK,72,11,1
UJjp2J7w,GY,CN,26,22,1
S7LvR3pS,NEXON,US,3,22,1
RN6caZoQ,GY,US,33,24,0
9VES4IXI,NEXON,UK,3,28,0
jaPInvc8,NETS,KR,12,19,1
4a6zEQMc,Tencent,KR,91,35,0
eWtEZfnh,Tencent,US,62,38,0
AeSkQ6mW,TiMi,CN,53,41,1
ehTKY4Db,TiMi,CN,85,18,0
kTYojpEx,NEXON,KR,24,40,0
EEW8NTW6,NEXON,KR,23,34,1
xgHhid7V,NETS,US,90,40,0
KcN6b9Xw,NETS,KR,5,29,0
WSc0iHb4,Tencent,KR,23,19,0
MomvM1De,NETS,UK,29,21,1
G8veE2rM,Tencent,CN,64,22,0
F1rPcOiu,GY,UK,49,38,0
Z3ztWzqt,TiMi,UK,87,15,1
K9ZxrUB6,NETS,US,46,38,1
T9mAvlHl,NEXON,KR,78,50,1
wdJbpKlx,NEXON,CN,4,10,1
dlSAD25i,TiMi,KR,25,10,1
i6ALoGj8,NETS,CN,47,37,0
JzaeuAoy,NETS,CN,81,47,1
dF22ZJ1f,Tencent,KR,71,25,0
qfjiqf7d,Tencent,US,83,38,0
k3p1oLwf,Tencent,US,92,29,0
A1pBWnIY,TiMi,KR,7,42,0
aZi9DRtt,GY,UK,48,38,0
1SQWAV4c,NEXON,CN,56,27,0
S363KZHW,Tencent,CN,90,19,1
heHSbiFa,TiMi,UK,13,16,0
zZvd8tQv,NEXON,US,70,47,1
u7ub57Q6,NETS,UK,41,35,0
H9SG3wrS,NEXON,CN,81,22,1
p6fNBqhf,GY,UK,62,47,0
tfAZbsxT,NETS,US,90,12,1
PLzuqh0F,TiMi,CN,23,46,0
GEr4P2E7,NETS,CN,19,32,1
JsZBKg4I,Tencent,UK,26,29,1
GsTyFmFH,GY,CN,32,43,1
SwU83dqT,NETS,KR,69,18,0
9LjzyAQH,NETS,UK,18,13,1
vS7dMbzx,TiMi,CN,12,19,0
VWHRlMl0,NEXON,KR,35,11,1
5gZtjZQa,TiMi,KR,30,35,0
PmoEXF9K,Tencent,KR,4,17,1
TDnAaeks,GY,US,23,17,1
eF5l6ogF,TiMi,CN,37,49,1
yTQmEVz1,GY,CN,27,36,1
lVOVYDWV,TiMi,UK,72,21,1
NojoU0yo,GY,UK,72,38,1
n0kBErIv,Tencent,CN,22,38,0
JF89geoo,NEXON,UK,61,47,1
F8vPapnc,NEXON,US,22,33,1
uTYAeYJq,GY,US,27,49,1
KXNRWUdt,Tencent,KR,59,24,1
6vQMzabJ,NETS,KR,27,17,1
4Z3TyZoz,NEXON,US,46,14,0
hyKU127S,NEXON,CN,79,47,0
eKJUjcBt,GY,US,24,45,1
c3eXkUAK,NEXON,UK,27,38,1
kDVFS9BE,NEXON,CN,90,25,1
zzJ73Nu5,GY,CN,14,11,0
OMLlmide,TiMi,KR,56,45,0
C2AAMbZ4,GY,UK,15,28,1
dHPzyAro,NETS,KR,33,22,1
XEzU2J08,TiMi,UK,17,29,1
WwgcDOqI,TiMi,US,28,32,0
YreC3J0Z,TiMi,UK,45,50,1
rvoOQCaK,NEXON,KR,81,37,1
o51BqEas,Tencent,KR,32,13,1
7JZ0N0VA,TiMi,KR,76,17,1
iV5ISHqm,NETS,KR,75,33,0
D7k14aTU,NEXON,KR,79,14,0
5177xu2K,Tencent,UK,14,49,1
wsw8Ssua,TiMi,US,14,50,1
4LFHVBWS,NEXON,US,49,38,1
tI1C6Bhu,NETS,US,92,43,1
LoZ9nu1p,NETS,CN,31,12,0
N5ZFU4OU,NEXON,UK,24,15,1
znulVhB1,Tencent,KR,10,43,1
SV5YF11e,TiMi,KR,96,41,1
gPfllCsy,GY,US,55,49,1
SOTshAIv,GY,UK,27,30,1
yMoLGoZK,GY,CN,93,50,0
ehbGuCEe,TiMi,UK,5,11,0
o78Qv4iL,NEXON,US,82,27,0
RPG53dhQ,GY,US,36,33,1
3ujcpGJ7,NEXON,CN,60,50,1
85oZ3VEz,Tencent,KR,28,30,0
xZ2phmOb,TiMi,KR,73,41,0
eWtkraEP,TiMi,KR,96,31,1
72xGZJGN,Tencent,UK,54,30,0
IFmWcG67,NEXON,US,65,33,0
j62NJOkp,NEXON,US,33,42,0
OhpTW0qh,NETS,UK,4,46,1
3ms9x9Fw,NETS,KR,14,46,1
uzVCDaXg,GY,UK,31,16,0
BImkIvSn,TiMi,KR,58,28,0
WwCqdZsj,TiMi,KR,8,47,0
hTGDXdi6,NEXON,US,85,22,0
XgFlLaSI,NETS,KR,71,30,1
lfX8DtrL,GY,CN,27,18,1
mi8MwScc,NEXON,CN,25,46,1
XynsSMvm,NETS,KR,9,42,0
oFT6TWlW,NETS,KR,96,26,0
zlTK3xuL,TiMi,US,80,17,1
AjUlzRCm,GY,CN,19,48,1
v2TbMUNO,NETS,US,33,48,0
Lhp3JhdA,Tencent,UK,68,14,1
lOxgtFXo,NETS,KR,90,48,0
bY16C7JT,TiMi,KR,92,46,1
rMc9WXXn,GY,CN,29,46,0
35H9gssQ,NEXON,US,37,20,0
JBWPTbms,NEXON,CN,75,19,0
zS8HbC0Y,Tencent,KR,68,14,0
zYCg7uUI,Tencent,US,99,33,1
LkUer9fl,GY,KR,15,16,1
5xZSYU3L,NEXON,KR,8,44,1
0yB1lmmW,TiMi,CN,35,27,1
svkf0g6l,NEXON,CN,26,28,1
9eXdF46b,TiMi,UK,61,22,1
4tj9qu7G,Tencent,UK,10,27,0
919GET8R,TiMi,CN,29,32,1
YNIHfdDZ,NEXON,KR,51,34,0
LTtEnv5E,NETS,US,69,10,0
URDAL3ux,GY,KR,86,24,1
GxIlCVb5,GY,US,22,26,0
7RbGSnq2,NEXON,KR,5,14,0
sRN2ZGT4,TiMi,CN,85,33,1
1BvX6fyN,GY,KR,54,11,1
qKogEHU1,Tencent,US,42,22,0
wBm7ABSG,TiMi,KR,68,48,0
5TojJc6A,NETS,KR,68,26,0
aiwwbl95,NEXON,KR,38,14,1
W0yMhxEC,TiMi,KR,64,45,1
HPgBaxJN,NETS,KR,98,35,1
G6v5z5nG,TiMi,CN,48,40,1
Fivx5cOn,Tencent,UK,64,33,1
ryx9PiOn,NEXON,UK,43,30,0
175eM3EF,NEXON,US,95,28,0
Z6HoF2h4,GY,UK,84,40,1
WJdH0f4t,TiMi,UK,76,23,1
xu9Lnc9Y,TiMi,US,99,28,1
zQHJocF3,GY,UK,71,10,1
MDJ2haB1,NEXON,CN,91,23,1
omVudQM9,NETS,KR,16,15,0
m6BA7USa,Tencent,KR,32,38,0
58kE70t1,Tencent,US,75,48,0
vh8YhUjT,TiMi,CN,70,31,0
WWP7cKMQ,NETS,US,84,43,0
813BQBTf,GY,UK,54,24,1
lQSxg8qm,Tencent,UK,95,41,0
EiFsQbb5,TiMi,US,36,27,0
5RPnP7WY,GY,UK,60,21,1
eeitlPID,Tencent,KR,8,18,1
6NHAjaFw,NEXON,UK,48,26,1
vkRzzGPQ,GY,UK,24,12,1
0Z0wG8Gj,Tencent,US,57,35,1
k08cHcCo,Tencent,UK,72,12,0
E7MQV0dP,GY,UK,78,33,1
7GbyzxHl,NETS,UK,86,44,1
4pZeaCfA,TiMi,KR,19,18,1
337stJAP,NETS,CN,0,40,1
Zfl5uvLB,Tencent,CN,10,37,1
vRCy5Axg,GY,CN,31,10,0
SgQ31Zgj,NEXON,US,79,16,0
mTXzeeDK,Tencent,US,2,22,1
FSxVY6xc,Tencent,CN,24,50,1
dtozHHU2,GY,UK,0,33,0
lxJ2s8DW,GY,CN,70,37,1
Mv0Q6LZQ,NETS,KR,4,22,0
pg4BNWg9,TiMi,CN,19,39,1
zvCx1M08,NETS,KR,8,14,1
qZsbZ1Pu,NEXON,US,1,24,1
saQLqyLf,TiMi,US,44,35,0
F23uJaOv,NETS,US,73,33,1
fickWUpf,TiMi,CN,86,50,1
rjw9SNiM,TiMi,CN,64,49,1
zmXLMFuu,TiMi,CN,77,31,1
9cu1mxMk,NETS,UK,63,11,0
1if552QV,NEXON,CN,30,26,0
OiGqO2sk,NETS,US,5,29,1
lZJ8s744,TiMi,US,91,43,0
lhWEhxK5,Tencent,CN,1,43,1
Fv70SoNp,GY,US,96,44,1
OnteBDaU,Tencent,UK,32,15,1
ug8U8LJ4,NEXON,CN,93,30,0
jWVA99Kj,NEXON,UK,88,21,1
16MxGqsU,Tencent,CN,23,38,1
NN9BGDzf,NETS,CN,85,16,0
nieMfEWL,Tencent,KR,12,32,1
GriNZH36,NEXON,KR,83,11,1
NEQNUd6i,GY,US,100,50,0
vGqB6qiq,TiMi,CN,11,29,0
ufLHkj5N,TiMi,CN,33,46,1
eScJbzOY,GY,UK,53,18,0
DXtAT5tt,NEXON,CN,90,28,1
IesWRwt9,NEXON,US,64,10,0
0INc1lWB,NEXON,CN,73,18,0
mB4xuBUj,Tencent,UK,61,48,0
IuhFFlly,GY,US,91,33,0
9rrbIiyi,Tencent,UK,56,49,1
UfwVWhg7,GY,UK,27,14,1
hFQpCUh2,NEXON,US,93,30,0
Iym6MCe0,TiMi,UK,85,40,0
abxaisJt,NETS,CN,56,25,0
6vj5AysT,Tencent,UK,48,13,0
Geb8kO2v,Tencent,CN,74,27,1
4owJgEmH,TiMi,KR,42,40,0
RLIWEERK,NETS,UK,10,35,0
yL6w6YVm,GY,KR,97,20,1
AsNzJFOL,GY,UK,95,21,1
dfpY06wB,TiMi,UK,20,49,1
B5unyICr,NEXON,KR,7,20,1
hRDtIN4Z,NEXON,US,24,35,1
AiY8HRyQ,Tencent,US,38,12,1
rdVqeTOt,NEXON,CN,37,40,1
wJOMs3ag,NETS,CN,70,46,1
1Sg0yaaJ,NETS,KR,77,39,1
NQDrYVqX,TiMi,KR,74,24,1
f3jVJv20,TiMi,US,8,40,1
UDNxu8zN,NEXON,UK,97,35,1
ffG6HGCZ,Tencent,US,1,35,0
XQQUZWff,Tencent,UK,4,23,0
VLa68glM,NEXON,US,32,23,1
Q93k74Zl,NETS,UK,36,12,0
OS7UklHa,TiMi,UK,30,37,1
T73zNd8B,NEXON,US,39,41,0
adD2p109,NETS,KR,66,13,1
tdp7L0Oz,NETS,CN,23,35,1
emUJ9tfn,TiMi,US,37,16,1
sCuxIgaZ,Tencent,US,62,41,0
3wuZmmSc,NEXON,UK,100,19,0
2nbmoDja,TiMi,CN,79,20,0
IFpLcTjJ,NEXON,CN,88,30,0
IPmRatf7,NEXON,CN,34,10,1
GJ51awJi,NEXON,US,30,44,0
QZdZuPFX,NETS,CN,37,32,1
6mhdFCyO,Tencent,UK,65,45,0
hxmFO1Fd,GY,US,69,38,0
qpt7au3N,TiMi,CN,74,32,1
J4V6v7Hh,NEXON,CN,97,31,0
d3JSuNMI,TiMi,CN,0,19,1
BAQxRpeM,TiMi,CN,82,34,0
vTRZuaMI,Tencent,UK,70,38,1
6USV7bCc,TiMi,UK,35,16,1
QonwlB4m,NEXON,CN,85,31,1
MvInTuzQ,NETS,KR,75,49,0
YRekF87X,NEXON,KR,92,37,0
mkifsFGJ,GY,US,72,36,1
oYt75WBe,TiMi,CN,55,30,1
zp0LUh8z,GY,US,34,46,1
9Zs5Wwt5,NEXON,UK,38,40,0
63OUPkRA,NETS,UK,55,35,1
GxzSUPnL,TiMi,US,45,12,0
A3kImALE,NETS,CN,4,35,0
wvyLPwGT,TiMi,US,30,26,1
gpthit5q,NETS,UK,78,42,0
plJijJP7,GY,CN,15,33,1
f1EsYlAu,GY,UK,70,37,0
F2EyBFy8,Tencent,KR,0,34,1
7OYUYGXc,NETS,KR,24,35,1
FFJ2GGU9,GY,US,96,43,1
PL5hZs0Z,TiMi,KR,98,20,1
wuXKgT8K,Tencent,KR,30,17,0
vU1LDSLW,GY,CN,56,17,0
pOUiNSxn,TiMi,US,48,36,0
Gn4v3zNX,NETS,US,58,14,0
vuPY4RFj,NETS,CN,81,45,0
nFBCHaxm,NEXON,US,51,39,0
28nFyRz0,TiMi,UK,29,13,1
MtqSRNNx,GY,KR,44,50,0
rib4LHAP,TiMi,UK,98,15,1
4RdxHiSC,GY,CN,23,40,1
AqPql3rg,Tencent,KR,82,30,0
wlINkM4E,NEXON,CN,47,36,1
4A2fkpI3,TiMi,KR,17,16,0
WsodS6kV,Tencent,US,7,45,1
3h2aedGs,Tencent,KR,13,38,0
qwee8Fns,NEXON,UK,47,17,1
QzQ5QLFB,TiMi,KR,87,29,0
ZvwInlZB,Tencent,US,82,40,0
5JJCOyF8,GY,US,78,49,1
MIUl9ptZ,TiMi,US,26,29,0
X0q4spXq,NEXON,US,64,28,1
pNbfEZOV,TiMi,UK,14,16,0
KNurZp2n,TiMi,CN,24,10,0
E7lZvpnA,NETS,UK,13,15,1
ky9NxeeJ,Tencent,CN,7,35,0
JEGcNOlm,NEXON,UK,70,26,1
hcGbybag,GY,US,56,33,1
cQGPAoha,TiMi,US,45,21,0
Ngq9CS3J,Tencent,CN,50,17,0
uOnLF25p,GY,UK,63,10,0
s43BhXXM,Tencent,KR,47,37,0
ykMxKWqm,NEXON,US,64,46,0
qo4Xbg4E,TiMi,US,55,47,1
EVdTHyBm,GY,CN,30,12,1
CY0Bs96U,NETS,CN,1,37,1
ApkRDGJE,TiMi,CN,2,24,1
TNngNGyO,NETS,KR,65,19,1
agZJDGHG,NEXON,US,99,20,0
v9gzVRwR,Tencent,CN,51,46,1
j5zmNLme,NETS,KR,83,50,0
wMKZLeqz,NEXON,US,37,37,1
LfHYhkCB,NETS,US,64,37,0
h09Bch8G,GY,US,11,35,0
43gLJr5G,TiMi,US,75,44,1
aBGw3MgR,NEXON,US,81,11,0
kkKCLQnl,NETS,KR,42,15,1
TQw2ndwp,TiMi,US,88,19,1
ovor5trz,NETS,US,42,41,0
WcSWBVFi,NETS,KR,9,50,0
joCQUNpT,NEXON,KR,82,10,1
EUbsBSzC,Tencent,CN,1,48,1
MGKNouo2,GY,UK,31,46,1
sn2fGyuk,NEXON,US,61,17,1
XZvawRh0,Tencent,UK,19,38,1
0TN51j54,NEXON,UK,29,28,1
JkHhsGBo,GY,KR,26,18,0
kfkWOUt0,GY,UK,99,39,0
eobgUCgW,NETS,UK,92,28,0
OPOet0Bg,TiMi,CN,10,20,1
6P0wyD6E,GY,US,85,32,1
lxVO63VD,Tencent,UK,10,29,0
bSeDya5L,Tencent,US,56,22,1
kCfk9Xai,NEXON,CN,90,22,1
V5S0lLYW,TiMi,CN,29,15,1
VRlU4F39,Tencent,KR,76,15,0
SWIW8Xzo,GY,KR,1,34,0
j7hcqaSf,GY,US,68,24,1
pjIsJP9v,GY,CN,47,27,1
pmdIGxcf,Tencent,KR,41,43,1
KLPEfERV,NETS,CN,67,38,0
A8rYsQyJ,NEXON,UK,65,36,1
GH6wqy7V,TiMi,UK,28,32,1
1sKUrTyQ,Tencent,US,76,35,1
C6cVkAj6,Tencent,CN,81,45,0
tgcNe4qY,NEXON,KR,20,39,0
jJ2V5Btw,Tencent,KR,85,29,0
RbmhNA2F,Tencent,CN,2,30,0
mKL8AKNX,GY,UK,19,49,1
kEzHuXLC,TiMi,KR,74,49,0
3qlsIDae,NETS,CN,46,39,0
P7rLasKZ,NEXON,US,71,41,0
Ip5VefGl,NEXON,UK,52,31,0
4OGdDbPq,Tencent,US,26,11,0
